,word,reading,meaning
0,の,の,"1. indicates possessive$2. nominalizes verbs and adjectives$3. substitutes for ""ga"" in subordinate phrases$4. (at sentence-end, falling tone) indicates a confident conclusion$5. (at sentence-end) indicates emotional emphasis$6. (at sentence-end, rising tone) indicates question$7. No (kana)$"
1,に,に,"1. at (place, time); in; on; during$2. to (direction, state); toward; into$3. for (purpose)$4. because of (reason); for; with$5. by; from$6. as (i.e. in the role of)$7. per; in; for; a (e.g. ""once a month"")$8. and; in addition to$9. if; although$10. Ni (kana)$"
2,は,は,1. topic marker particle$2. indicates contrast with another option (stated or unstated)$3. adds emphasis$4. Ha (kana)$
3,を,を,"1. indicates direct object of action$2. indicates subject of causative expression$3. indicates an area traversed$4. indicates time (period) over which action takes place$5. indicates point of departure or separation of action$6. indicates object of desire, like, hate, etc.$7. Wo (kana)$"
4,が,が,1. indicates sentence subject (occasionally object)$2. indicates possessive (esp. in literary expressions)$3. but; however; still; and$4. regardless of; whether (or not)$
5,と,と,"1. if; when$2. and$3. with$4. particle used for quoting (with speech, thoughts, etc.)$5. promoted pawn$6. ?$7. To (kana)$"
6,年,とし,1. year$2. age; years$3. past one's prime; old age$4. Year$
7,年,ねん,1. year (e.g. AD)$2. counter for years$
8,年,とせ,1. counter for years (following a number in the hito-futa-mi counting system)$
9,年,とし,1. Toshi$
10,で,で,1. at; in$2. at; when$3. by; with$4. and then; so$5. and; then$6. let me tell you; don't you know$
11,だ,だ,1. be; is$2. has; have$3. please; do$
12,月,つき,1. moon$2. month$3. Moon$
13,も,も,1. too; also; in addition; as well; (not) either (in a negative sentence)$2. both A and B; A as well as B; neither A nor B (in a negative sentence)$3. even; as much as; as many as; as far as; as long as; no less than; no fewer than$4. even if; even though; although; in spite of$5. further; more; again; another; the other$6. Mo (kana)$
14,から,から,"1. from (e.g. time, place, numerical quantity); since$2. from (originator); by$3. because; since$4. out of (constituent, part)$5. through (e.g. window, vestibule)$6. after; since$"
15,日,ひ,1. day; days$2. sun; sunshine; sunlight$3. case (esp. unfortunate); event$4. Hi$5. Day$
16,日,にち,1. Sunday$2. day (of the month)$3. counter for days$4. Japan$5. Nichi$
17,日,か,1. day of month$2. counter for days$
18,成る,なる,1. to become; to get; to grow; to be; to reach; to attain$2. to result in; to prove to be$3. to consist of; to be composed of$4. to succeed; to be complete$5. to change into; to be exchanged for$6. to play a role$7. to be promoted$8. to do ...$9. Naru$
19,こと,こと,1. particle indicating a command$2. particle indicating mild enthusiasm$3. particle indicating a gentle interrogative$4. particle used to soften a judgment or conclusion$
20,よる,よる,1. to have the nerve to; to be bastard enough to$
21,や,や,1. such things as ...; and ... and$2. the minute (that) ...; no sooner than ...; as soon as$3. be; is$4. o; oh$5. huh; what$6. hi$7. yes; what?$8. yes?; no?; is it?; isn't it?$9. Ya (kana)$
22,言う,いう,"1. to say; to utter; to declare$2. to name; to call$3. to go (e.g. ""the alarm went ping""); to make a noise$"
23,日本,にほん本,1. Japan$2. Japan$
24,日本,にっぽん本,1. Nippon$
25,為,ため,1. good; advantage; benefit; welfare$2. sake; purpose; objective; aim$3. consequence; result; effect$4. affecting; regarding; concerning$
26,為,す,1. to do$
27,為,ため,1. Tame$
28,人,じん,"1. -ian (e.g. Italian); -ite (e.g. Tokyoite)$2. -er (e.g. performer, etc.); person working with ...$3. man; person; people$"
29,人,と,1. person$
30,人,ひと,1. man; person$2. human being; mankind; people$3. human (Homo sapiens); humans as a species$4. character; personality$5. man of talent; true man$6. another person; other people; others$7. adult$
31,人,にん,1. counter for people$2. person$
32,人,ひと,1. Hito$
33,もの,もの,1. indicates reason or excuse$2. indicates dissatisfaction; indicates desire to be pampered or indulged$
